Type,Part Number,Brand,Model,Rank,Benchmark,Samples,Difference from 570
GPU,,Nvidia,RTX 4090,1,423,4273,81164%
GPU,,Nvidia,RTX 4080,2,329,1530,60905%
GPU,,Nvidia,RTX 3090-Ti,3,266,12073,47328%
GPU,,Nvidia,RTX 3090,4,233,125683,40216%
GPU,‎ROG-STRIX-RTX3090-O24G-GAMING,Asus,Asus RTX 3080 24GB ROG Strix,4,233,125683,40216%
GPU,‎TUF-RTX3090-O24G-GAMING,Asus,Asus RTX 3080 24GB Tuf OC,4,233,125683,40216%
GPU, ‎RTX 3090 GAMING X TRIO 24G,MSI,MSI RTX 3090 24GB Gaming X Trio OC,4,233,125683,40216%
GPU,‎ZT-A30900J-10P,Zotac,Zotac RTX 3090 24GB Trinity OC,4,233,125683,40216%
GPU,24G-P5-3987-KR,EVGA,EVGA RTX 3090 24GB XC3 Ultra Gaming,4,233,125683,40216%
GPU,GeForce RTX 3090 VENTUS 3X 24G OC,MSI,MSI RTX 3090 24GB Ventus 3X OC,4,233,125683,40216%
GPU,,Nvidia,RTX 3080-Ti,5,230,139549,39569%
GPU,12G-P5-3967-KR,EVGA,EVGA RTX 3080 Ti 12GB FTW3 Ultra Gaming,5,230,139549,39569%
GPU,TUF-RTX3080TI-O12G-GAMING,Asus,Asus RTX 3080 Ti 12GB Tuf OC,5,230,139549,39569%
GPU,GV-N308TGAMING OC-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Gaming OC,5,230,139549,39569%
GPU,‎RTX 3080 Ti Gaming X Trio 12G,MSI,MSI RTX 3080 Ti 12GB Gaming X Trio OC,5,230,139549,39569%
GPU,‎GeForce RTX 3080 Ti VENTUS 3X 12G OC,MSI,MSI RTX 3080 Ti 12GB Ventus 3X OC,5,230,139549,39569%
GPU,12G-P5-3955-KR,EVGA,EVGA RTX 3080 Ti 12GB XC3 Ultra Gaming,5,230,139549,39569%
GPU,‎ZT-A30810J-10P,Zotac,Zotac RTX 3080 Ti 12GB Trinity OC,5,230,139549,39569%
GPU,‎ROG-STRIX-RTX3080TI-O12G-GAMING,Asus,Asus RTX 3080 Ti 12GB ROG Strix OC,5,230,139549,39569%
GPU,GV-N308TVISION OC-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Vision OC,5,230,139549,39569%
GPU,GeForce RTX 3080 Ti SUPRIM X 12G,MSI,MSI RTX 3080 Ti 12GB Suprim X,5,230,139549,39569%
GPU,GV-N308TAORUS M-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Aorus Master,5,230,139549,39569%
GPU,GV-N308TEAGLE-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Eagle,5,230,139549,39569%
GPU,,Nvidia,Quadro RTX A6000,6,207,1,34612%
GPU,,Nvidia,RTX 3080,7,206,353788,34397%
GPU,RTX 3080 Ventus 3X Plus 10G OC LHR,MSI,MSI RTX 3080 10GB Ventus 3X OC,7,206,353788,34397%
GPU,GV-N3080GAMING OC-10GD-V2,Gigabyte,Gigabyte RTX 3080 10GB Gaming OC,7,206,353788,34397%
GPU,‎GV-N3080VISION OC-10GD 2.0,Gigabyte,Gigabyte RTX 3080 10GB Vision OC,7,206,353788,34397%
GPU,‎TUF-RTX3080-O10G-V2-GAMING,Asus,Asus RTX 3080 10GB Tuf OC,7,206,353788,34397%
GPU,‎ZT-A30800J-10PLHR,Zotac,Zotac RTX 3080 10GB Trinity OC,7,206,353788,34397%
